Title	Artists	Album
Rain On Me (with Ariana Grande)	Lady Gaga, Ariana Grande	Rain On Me (with Ariana Grande)
Blinding Lights	The Weeknd	After Hours
ROCKSTAR (feat. Roddy Ricch)	DaBaby, Roddy Ricch	BLAME IT ON BABY
Roses - Imanbek Remix	SAINt JHN, Imanbek	Roses (Imanbek Remix)
Toosie Slide	Drake	Dark Lane Demo Tapes
death bed (coffee for your head) (feat. beabadoobee)	Powfu, beabadoobee	death bed (coffee for your head) (feat. beabadoobee)
THE SCOTTS	THE SCOTTS, Travis Scott, Kid Cudi	THE SCOTTS
Don't Start Now	Dua Lipa	Future Nostalgia
Stuck with U (with Justin Bieber)	Ariana Grande, Justin Bieber	Stuck with U
Dance Monkey	Tones And I	Dance Monkey (Stripped Back) / Dance Monkey
GOOBA	6ix9ine	GOOBA
Blueberry Faygo	Lil Mosey	Certified Hitmaker
The Box	Roddy Ricch	Please Excuse Me For Being Antisocial
ily (i love you baby) (feat. Emilee)	Surf Mesa, Emilee	ily (i love you baby) (feat. Emilee)
Break My Heart	Dua Lipa	Future Nostalgia
Supalonely	BENEE, Gus Dapperton	STELLA & STEVE
Intentions (feat. Quavo)	Justin Bieber, Quavo	Changes
In Your Eyes	The Weeknd	After Hours
Sunday Best	Surfaces	Where the Light Is
Say So	Doja Cat	Hot Pink
Falling	Trevor Daniel	Nicotine
Savage Remix (feat. BeyoncÃ©)	Megan Thee Stallion, BeyoncÃ©	Savage Remix (feat. BeyoncÃ©)
Safaera	Bad Bunny, Jowell & Randy, Nengo Flow	YHLQMDLG
Someone You Loved	Lewis Capaldi	Divinely Uninspired To A Hellish Extent
Yo Perreo Sola	Bad Bunny	YHLQMDLG
Circles	Post Malone	Hollywood's Bleeding
Say So (feat. Nicki Minaj)	Doja Cat, Nicki Minaj	Say So (feat. Nicki Minaj)
Party Girl	StaySolidRocky	Party Girl
Watermelon Sugar	Harry Styles	Fine Line
goosebumps	Travis Scott	Birds In The Trap Sing McKnight
Tusa	KAROL G, Nicki Minaj	Tusa
WHATS POPPIN	Jack Harlow	Sweet Action
Boss Bitch	Doja Cat	Boss Bitch
ROXANNE	Arizona Zervas	ROXANNE
SICKO MODE	Travis Scott	ASTROWORLD
Play Date	Melanie Martinez	Cry Baby (Deluxe Edition)
Be Kind (with Halsey)	Marshmello, Halsey	Be Kind (with Halsey)
Life Is Good (feat. Drake)	Future, Drake	High Off Life
HIGHEST IN THE ROOM	Travis Scott	HIGHEST IN THE ROOM
Breaking Me	Topic, A7S	Breaking Me
Adore You	Harry Styles	Fine Line
Rojo	J Balvin	Colores
Before You Go	Lewis Capaldi	Divinely Uninspired To A Hellish Extent (Extended Edition)
Memories	Maroon 5	Memories
After Party	Don Toliver	Heaven Or Hell
bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?
SeÃ±orita	Shawn Mendes, Camila Cabello	Shawn Mendes (Deluxe)
Daechwita	Agust D	D-2
MAMACITA	Black Eyed Peas, Ozuna, J. Rey Soul	MAMACITA
Favorito	Camilo	Por Primera Vez
Colocao	Nicki Nicole	Colocao
Favorito	Camilo	Por Primera Vez
PORFA	Feid, Justin Quiles	FERXXO (VOL 1: M.O.R)
Yo Perreo Sola	Bad Bunny	YHLQMDLG
C.R.O: Bzrp Music Session, Vol. 29	Bizarrap, C.R.O	C.R.O: Bzrp Music Session, Vol. 29
ElegÃ­ (feat. DÃ­melo Flow)	Rauw Alejandro, Dalex, Lenny TavÃ¡rez, DÃ­melo Flow	ElegÃ­ (feat. DÃ­melo Flow)
Rojo	J Balvin	Colores
Safaera	Bad Bunny, Jowell & Randy, Nengo Flow	YHLQMDLG
Tattoo	Rauw Alejandro	Tattoo
Inolvidable	Ovy On The Drums, BeÃ©le	Inolvidable
Tusa	KAROL G, Nicki Minaj	Tusa
Hola - Remix	Dalex, Lenny TavÃ¡rez, Chencho Corleone, Juhn, DÃ­melo Flow	Hola (Remix)
Por Primera Vez	Camilo, Evaluna Montaner	Por Primera Vez
Diosa	Myke Towers	Easy Money Baby
La Jeepeta - Remix	Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka	La Jeepeta (Remix)
RelaciÃ³n	Sech	1 of 1
Morado	J Balvin	Colores
Sigues Con El	DÃ­melo Flow, Arcangel, Sech	Sigues Con El
Blinding Lights	The Weeknd	After Hours
Tak Tiki Tak	Harry Nach	Tak Tiki Tak
Dance Monkey	Tones And I	Dance Monkey (Stripped Back) / Dance Monkey
Fantasias	Rauw Alejandro, Farruko	Fantasias
Loco	BeÃ©le	Loco
Locura	Cali Y El Dandee, Sebastian Yatra	Colegio
Roses - Imanbek Remix	SAINt JHN, Imanbek	Roses (Imanbek Remix)
Don't Start Now	Dua Lipa	Future Nostalgia
La DifÃ­cil	Bad Bunny	YHLQMDLG
Rain On Me (with Ariana Grande)	Lady Gaga, Ariana Grande	Rain On Me (with Ariana Grande)
Amarillo	J Balvin	Colores
ALMA DINAMITA	WOS	Tres Puntos Suspensivos
Ignorantes	Bad Bunny, Sech	YHLQMDLG
El Efecto - Remix	Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex	El Efecto (Remix)
High	Maria Becerra	High
Ya No MÃ¡s	Fer Palacio, DJ Alex, Santiago Saez	Ya No MÃ¡s
death bed (coffee for your head) (feat. beabadoobee)	Powfu, beabadoobee	death bed (coffee for your head) (feat. beabadoobee)
Flasheaste Amor	Agapornis, Hernan y La Champion's Liga, Lauro	Flasheaste Amor
Como Llora	Juanfran	Como Llora
Si Me Dices Que SÃ­	Reik, Farruko, Camilo	Si Me Dices Que SÃ­
Tutu	Camilo, Pedro CapÃ³	Por Primera Vez
MuÃ©velo	Nicky Jam, Daddy Yankee	MuÃ©velo
DÃ³nde EstÃ¡s	KHEA	DÃ³nde EstÃ¡s
Recuerdo	TINI, Mau y Ricky	Recuerdo
Bounce	Cazzu	Bonus Trap
La Cama - Remix	Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro	La Cama (Remix)
BYE ME FUI	Bad Bunny	LAS QUE NO IBAN A SALIR
