Against	Beneficiary	TotalCount	TotalYards
Pittsburgh	Tennessee	6	60
Tennessee	Pittsburgh	5	28
Miami	Atlanta	4	27
Atlanta	Miami	4	35
Baltimore	Kansas City	8	65
Kansas City	Baltimore	3	15
Philadelphia	Carolina	9	76
Carolina	Philadelphia	5	30
Cincinnati	Denver	4	27
Denver	Cincinnati	6	39
Cleveland	Minnesota	8	66
Minnesota	Cleveland	3	38
Houston	N.Y. Jets	6	37
N.Y. Jets	Houston	10	80
Jacksonville	Indianapolis	3	24
Indianapolis	Jacksonville	3	17
Detroit	New Orleans	8	80
New Orleans	Detroit	7	36
Tampa Bay	Dallas	3	15
Dallas	Tampa Bay	4	41
San Francisco	Arizona	4	31
Arizona	San Francisco	12	82
Washington	N.Y. Giants	4	32
N.Y. Giants	Washington	4	30
St. Louis	Seattle	10	85
Seattle	St. Louis	4	25
Green Bay	Chicago	6	45
Chicago	Green Bay	3	25
Buffalo	New England	9	71
New England	Buffalo	6	55
San Diego	Oakland	9	60
Oakland	San Diego	6	40
Atlanta	Carolina	6	40
Carolina	Atlanta	6	35
Detroit	Minnesota	6	45
Minnesota	Detroit	5	43
Cincinnati	Green Bay	13	100
Green Bay	Cincinnati	11	76
Arizona	Jacksonville	7	58
Jacksonville	Arizona	8	50
Oakland	Kansas City	7	45
Kansas City	Oakland	9	70
N.Y. Jets	New England	8	55
New England	N.Y. Jets	11	89
Philadelphia	New Orleans	7	45
New Orleans	Philadelphia	3	13
Houston	Tennessee	6	40
Tennessee	Houston	8	64
Washington	St. Louis	5	35
St. Louis	Washington	6	45
Tampa Bay	Buffalo	13	112
Buffalo	Tampa Bay	7	55
Seattle	San Francisco	6	45
San Francisco	Seattle	6	54
Pittsburgh	Chicago	6	52
Chicago	Pittsburgh	10	80
Denver	Cleveland	5	50
Cleveland	Denver	4	43
San Diego	Baltimore	12	85
Baltimore	San Diego	4	32
N.Y. Giants	Dallas	4	40
Dallas	N.Y. Giants	4	50
Miami	Indianapolis	4	20
Indianapolis	Miami	4	20
Cleveland	Baltimore	5	46
Baltimore	Cleveland	8	84
Cincinnati	Pittsburgh	4	30
Pittsburgh	Cincinnati	5	51
Detroit	Washington	8	58
Washington	Detroit	9	97
Jacksonville	Houston	5	40
Houston	Jacksonville	5	60
San Francisco	Minnesota	7	60
Minnesota	San Francisco	9	52
Atlanta	New England	7	54
New England	Atlanta	2	10
Philadelphia	Kansas City	3	20
